"Statistic Label","Month","Type of Residential Property","UNIT","VALUE"
"Percentage Change over 1 month for Residential Property Price Index","2005 January","Dublin - all residential properties","%",""
"Percentage Change over 1 month for Residential Property Price Index","2005 February","Dublin - all residential properties","%","2.1"
"Percentage Change over 1 month for Residential Property Price Index","2005 March","Dublin - all residential properties","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2005 April","Dublin - all residential properties","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2005 May","Dublin - all residential properties","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2005 June","Dublin - all residential properties","%","0.1"
"Percentage Change over 1 month for Residential Property Price Index","2005 July","Dublin - all residential properties","%","1.2"
"Percentage Change over 1 month for Residential Property Price Index","2005 August","Dublin - all residential properties","%","1.9"
"Percentage Change over 1 month for Residential Property Price Index","2005 September","Dublin - all residential properties","%","1.8"
"Percentage Change over 1 month for Residential Property Price Index","2005 October","Dublin - all residential properties","%","2.8"
"Percentage Change over 1 month for Residential Property Price Index","2005 November","Dublin - all residential properties","%","1.3"
"Percentage Change over 1 month for Residential Property Price Index","2005 December","Dublin - all residential properties","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2006 January","Dublin - all residential properties","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2006 February","Dublin - all residential properties","%","0.8"
"Percentage Change over 1 month for Residential Property Price Index","2006 March","Dublin - all residential properties","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2006 April","Dublin - all residential properties","%","1.8"
"Percentage Change over 1 month for Residential Property Price Index","2006 May","Dublin - all residential properties","%","2.6"
"Percentage Change over 1 month for Residential Property Price Index","2006 June","Dublin - all residential properties","%","2.5"
"Percentage Change over 1 month for Residential Property Price Index","2006 July","Dublin - all residential properties","%","3.2"
"Percentage Change over 1 month for Residential Property Price Index","2006 August","Dublin - all residential properties","%","2.9"
"Percentage Change over 1 month for Residential Property Price Index","2006 September","Dublin - all residential properties","%","0.2"
"Percentage Change over 1 month for Residential Property Price Index","2006 October","Dublin - all residential properties","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2006 November","Dublin - all residential properties","%","-0.4"
"Percentage Change over 1 month for Residential Property Price Index","2006 December","Dublin - all residential properties","%","0.1"
"Percentage Change over 1 month for Residential Property Price Index","2007 January","Dublin - all residential properties","%","0.2"
"Percentage Change over 1 month for Residential Property Price Index","2007 February","Dublin - all residential properties","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2007 March","Dublin - all residential properties","%","-0.9"
"Percentage Change over 1 month for Residential Property Price Index","2007 April","Dublin - all residential properties","%","0.2"
"Percentage Change over 1 month for Residential Property Price Index","2007 May","Dublin - all residential properties","%","-1"
"Percentage Change over 1 month for Residential Property Price Index","2007 June","Dublin - all residential properties","%","0.2"
"Percentage Change over 1 month for Residential Property Price Index","2007 July","Dublin - all residential properties","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2007 August","Dublin - all residential properties","%","-0.5"
"Percentage Change over 1 month for Residential Property Price Index","2007 September","Dublin - all residential properties","%","0.2"
"Percentage Change over 1 month for Residential Property Price Index","2007 October","Dublin - all residential properties","%","0"
"Percentage Change over 1 month for Residential Property Price Index","2007 November","Dublin - all residential properties","%","-0.9"
"Percentage Change over 1 month for Residential Property Price Index","2007 December","Dublin - all residential properties","%","-1.3"
"Percentage Change over 1 month for Residential Property Price Index","2008 January","Dublin - all residential properties","%","-2.3"
"Percentage Change over 1 month for Residential Property Price Index","2008 February","Dublin - all residential properties","%","-0.6"
"Percentage Change over 1 month for Residential Property Price Index","2008 March","Dublin - all residential properties","%","-0.5"
"Percentage Change over 1 month for Residential Property Price Index","2008 April","Dublin - all residential properties","%","0"
"Percentage Change over 1 month for Residential Property Price Index","2008 May","Dublin - all residential properties","%","0"
"Percentage Change over 1 month for Residential Property Price Index","2008 June","Dublin - all residential properties","%","-1"
"Percentage Change over 1 month for Residential Property Price Index","2008 July","Dublin - all residential properties","%","-1.2"
"Percentage Change over 1 month for Residential Property Price Index","2008 August","Dublin - all residential properties","%","-1.4"
"Percentage Change over 1 month for Residential Property Price Index","2008 September","Dublin - all residential properties","%","-3.4"
"Percentage Change over 1 month for Residential Property Price Index","2008 October","Dublin - all residential properties","%","-3.5"
"Percentage Change over 1 month for Residential Property Price Index","2008 November","Dublin - all residential properties","%","-2.8"
"Percentage Change over 1 month for Residential Property Price Index","2008 December","Dublin - all residential properties","%","-2"
"Percentage Change over 1 month for Residential Property Price Index","2009 January","Dublin - all residential properties","%","-2.8"
"Percentage Change over 1 month for Residential Property Price Index","2009 February","Dublin - all residential properties","%","-4.4"
"Percentage Change over 1 month for Residential Property Price Index","2009 March","Dublin - all residential properties","%","-3.7"
"Percentage Change over 1 month for Residential Property Price Index","2009 April","Dublin - all residential properties","%","-3.8"
"Percentage Change over 1 month for Residential Property Price Index","2009 May","Dublin - all residential properties","%","-2.2"
"Percentage Change over 1 month for Residential Property Price Index","2009 June","Dublin - all residential properties","%","-1.2"
"Percentage Change over 1 month for Residential Property Price Index","2009 July","Dublin - all residential properties","%","-1"
"Percentage Change over 1 month for Residential Property Price Index","2009 August","Dublin - all residential properties","%","0.2"
"Percentage Change over 1 month for Residential Property Price Index","2009 September","Dublin - all residential properties","%","-0.5"
"Percentage Change over 1 month for Residential Property Price Index","2009 October","Dublin - all residential properties","%","-2.2"
"Percentage Change over 1 month for Residential Property Price Index","2009 November","Dublin - all residential properties","%","-1.9"
"Percentage Change over 1 month for Residential Property Price Index","2009 December","Dublin - all residential properties","%","-2.2"
"Percentage Change over 1 month for Residential Property Price Index","2010 January","Dublin - all residential properties","%","-2.5"
"Percentage Change over 1 month for Residential Property Price Index","2010 February","Dublin - all residential properties","%","-2.3"
"Percentage Change over 1 month for Residential Property Price Index","2010 March","Dublin - all residential properties","%","-2.2"
"Percentage Change over 1 month for Residential Property Price Index","2010 April","Dublin - all residential properties","%","-0.3"
"Percentage Change over 1 month for Residential Property Price Index","2010 May","Dublin - all residential properties","%","-1"
"Percentage Change over 1 month for Residential Property Price Index","2010 June","Dublin - all residential properties","%","-1.3"
"Percentage Change over 1 month for Residential Property Price Index","2010 July","Dublin - all residential properties","%","-0.7"
"Percentage Change over 1 month for Residential Property Price Index","2010 August","Dublin - all residential properties","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2010 September","Dublin - all residential properties","%","-0.2"
"Percentage Change over 1 month for Residential Property Price Index","2010 October","Dublin - all residential properties","%","-1.6"
"Percentage Change over 1 month for Residential Property Price Index","2010 November","Dublin - all residential properties","%","-2.1"
"Percentage Change over 1 month for Residential Property Price Index","2010 December","Dublin - all residential properties","%","-1.7"
"Percentage Change over 1 month for Residential Property Price Index","2011 January","Dublin - all residential properties","%","-1.1"
"Percentage Change over 1 month for Residential Property Price Index","2011 February","Dublin - all residential properties","%","-2.1"
"Percentage Change over 1 month for Residential Property Price Index","2011 March","Dublin - all residential properties","%","-2.7"
"Percentage Change over 1 month for Residential Property Price Index","2011 April","Dublin - all residential properties","%","-0.8"
"Percentage Change over 1 month for Residential Property Price Index","2011 May","Dublin - all residential properties","%","-1.6"
"Percentage Change over 1 month for Residential Property Price Index","2011 June","Dublin - all residential properties","%","-1.4"
"Percentage Change over 1 month for Residential Property Price Index","2011 July","Dublin - all residential properties","%","-1.5"
"Percentage Change over 1 month for Residential Property Price Index","2011 August","Dublin - all residential properties","%","-2"
"Percentage Change over 1 month for Residential Property Price Index","2011 September","Dublin - all residential properties","%","-2.8"
"Percentage Change over 1 month for Residential Property Price Index","2011 October","Dublin - all residential properties","%","-2"
